state,district,year,total_crimes
Delhi UT,OUTER,2013,9579
Delhi UT,SOUTH,2013,8593
Delhi UT,SOUTH-EAST,2013,8608
Delhi UT,SOUTH-WEST,2013,5963
Delhi UT,STF,2013,15
Delhi UT,WEST,2013,8813
Delhi UT,ZZ TOTAL,2013,80184
Lakshadweep,LAKSHADWEEP,2013,40
Lakshadweep,ZZ TOTAL,2013,40
Puducherry,KARAIKAL,2013,643
Puducherry,PUDUCHERRY,2013,3113
Puducherry,ZZ TOTAL,2013,3756
